
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-22 03:19:36 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-22 03:19:36 /api/manage/notifications ............................................................... ~ 1dt
  2026-08-22 03:19:36 /api/manage/notifications ............................................................... ~ 2dt
  2026-08-22 03:19:36 /api/manage/editions .................................................................... ~ 2dt
  2026-08-22 03:19:38 /api/manage/editions ............................................................... ~ 507.64ms
  2026-08-22 03:19:38 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-22 03:19:38 /api/manage/competitions ........................................................... ~ 506.98ms
  2026-08-22 03:19:39 /api/manage/competitions ........................................................... ~ 511.48ms
  2026-08-22 03:19:39 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-22 03:19:40 /api/manage/notifications ............................................................... ~ 1dt
  2026-08-22 03:19:40 /api/manage/notifications ............................................................... ~ 1dt
  2026-08-22 03:19:40 /api/manage/editions ............................................................... ~ 518.99ms
  2026-08-22 03:19:41 /api/editions ...................................................................... ~ 518.89ms
  2026-08-22 03:19:41 /api/editions ........................................................................... ~ 1dt
  2026-08-22 03:19:42 /api/editions ........................................................................... ~ 1dt
  2026-08-22 03:19:42 /api/editions ...................................................................... ~ 508.39ms
  2026-08-22 03:19:54 /api/login ......................................................................... ~ 508.48ms
  2026-08-22 03:19:54 /api/login .............................................................................. ~ 1dt
  2026-08-22 03:19:55 /api/manage/dashboard ................................................................ ~ 0.45ms
  2026-08-22 03:19:55 /api/manage/notifications .......................................................... ~ 507.54ms
  2026-08-22 03:19:55 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 03:19:55 /api/manage/editions .................................................................... ~ 1dt
  2026-08-22 03:19:56 /api/manage/dashboard .............................................................. ~ 506.95ms
  2026-08-22 03:19:56 /api/manage/competitions ........................................................... ~ 506.19ms
  2026-08-22 03:19:57 /api/manage/notifications .......................................................... ~ 505.66ms
  2026-08-22 03:19:57 /api/manage/editions .................................................................... ~ 1dt
  2026-08-22 03:19:57 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-22 03:19:58 /api/manage/notifications .......................................................... ~ 518.86ms
  2026-08-22 03:19:58 /api/manage/competitions ........................................................... ~ 518.31ms
  2026-08-22 03:19:58 /api/manage/editions .................................................................... ~ 1dt
  2026-08-22 03:19:59 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-22 03:19:59 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 03:20:00 /api/manage/notifications ............................................................... ~ 1dt
  2026-08-22 03:20:00 /api/manage/editions .................................................................... ~ 1dt
  2026-08-22 03:20:02 /api/manage/competitions ........................................................... ~ 510.37ms
  2026-08-22 03:20:02 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 03:20:02 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 03:20:03 /api/manage/competitions ........................................................... ~ 524.63ms
  2026-08-22 03:20:09 ......................................................................................... ~ 5dt
  2026-08-22 03:20:18 /api/editions ...................................................................... ~ 515.22ms
  2026-08-22 03:20:18 /api/content/home-hero ............................................................. ~ 517.96ms
  2026-08-22 03:20:18 /api/content/home-hero .................................................................. ~ 1dt
  2026-08-22 03:20:18 /api/editions ........................................................................... ~ 1dt
  2026-08-22 03:20:18 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 03:20:18 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 03:20:18 /api/venues ............................................................................. ~ 1dt
  2026-08-22 03:20:19 /api/venues ............................................................................. ~ 1dt
  2026-08-22 03:20:20 /api/content/landing-extras ........................................................ ~ 520.66ms
  2026-08-22 03:20:20 /api/content/landing-extras ........................................................ ~ 525.93ms
  2026-08-22 03:20:20 /api/competitions .................................................................. ~ 526.93ms
  2026-08-22 03:20:21 /api/competitions .................................................................. ~ 505.73ms
  2026-08-22 03:20:21 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 03:20:21 /api/competition-types ............................................................. ~ 517.05ms
